                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.0134,                0.62118,                 0.8984,                0.96632,                 0.9487,                0.97157,                0.83712,                 0.9254,                0.55771,                0.86402,             0.00041041,             0.00041041,             0.00041041
                     74,                0.98572,                0.60731,                0.89089,                0.96046,                 0.9476,                0.97089,                0.84081,                0.91726,                0.55302,                0.86187,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.0151,                0.61534,                0.89082,                0.96342,                0.94794,                 0.9727,                0.84197,                0.90271,                0.54633,                0.86205,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.0314,                 0.6222,                0.88507,                0.95455,                0.95913,                0.97479,                0.84656,                0.87815,                0.53658,                0.85997,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.0086,                0.62029,                0.89323,                0.95083,                0.95099,                0.97042,                0.84782,                0.90891,                 0.5404,                0.86125,             0.00035382,             0.00035382,             0.00035382
                     78,                0.98292,                0.60538,                0.89105,                0.95902,                0.94901,                0.97203,                0.84635,                 0.9149,                0.53988,                0.86122,             0.00033967,             0.00033967,             0.00033967
                     79,                0.99209,                0.60341,                0.89073,                 0.9523,                0.95189,                0.97282,                 0.8446,                0.89771,                0.54077,                 0.8596,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.0553,                0.63388,                0.89139,                0.96223,                0.94828,                0.97258,                0.85454,                0.88154,                0.53524,                0.85893,             0.00031138,             0.00031138,             0.00031138
                     81,                  1.017,                0.62263,                0.89189,                0.96604,                0.95752,                 0.9739,                0.84862,                0.89455,                0.54186,                 0.8593,             0.00029723,             0.00029723,             0.00029723
                     82,                0.94985,                0.58975,                0.89206,                0.97176,                0.95368,                0.97492,                0.84606,                0.88395,                0.53892,                0.85912,             0.00028308,             0.00028308,             0.00028308
                     83,                 1.0017,                0.59621,                0.89152,                0.96778,                0.95313,                0.97236,                0.84759,                0.89299,                0.53842,                0.86025,             0.00026894,             0.00026894,             0.00026894
                     84,                0.98805,                0.60373,                0.89723,                0.96478,                0.95217,                0.97135,                0.84902,                 0.8856,                0.53742,                0.85941,             0.00025479,             0.00025479,             0.00025479
                     85,                0.98574,                0.59891,                0.89023,                 0.9663,                0.95353,                0.96981,                0.84455,                0.88015,                0.53634,                0.85905,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.0271,                0.63078,                0.89551,                0.96923,                0.95299,                0.97272,                0.84968,                0.87073,                0.52889,                0.85754,              0.0002265,              0.0002265,              0.0002265
                     87,                0.96724,                0.59041,                0.88882,                 0.9672,                0.95209,                0.97241,                0.84965,                 0.8739,                0.52832,                0.85854,             0.00021235,             0.00021235,             0.00021235
                     88,                0.98394,                0.60453,                0.89038,                0.96427,                 0.9539,                0.97163,                0.84876,                0.87476,                0.52731,                0.85888,              0.0001982,              0.0001982,              0.0001982
                     89,                 0.9914,                0.59406,                0.88907,                0.96742,                0.95472,                0.97247,                0.85037,                0.86451,                0.52814,                0.85722,             0.00018406,             0.00018406,             0.00018406
                     90,                0.94147,                0.57186,                 0.8909,                0.97077,                0.95116,                0.97388,                0.85607,                0.86212,                0.52369,                0.85681,             0.00016991,             0.00016991,             0.00016991
                     91,                0.95242,                0.58267,                0.88778,                0.97042,                0.95241,                0.97464,                0.85395,                0.86634,                0.52417,                0.85647,             0.00015576,             0.00015576,             0.00015576
                     92,                0.96163,                0.58192,                0.88499,                0.96482,                0.95302,                0.97323,                0.85005,                0.87377,                0.53011,                0.85629,             0.00014161,             0.00014161,             0.00014161
                     93,                0.92298,                 0.5647,                0.88018,                0.96393,                0.95548,                0.97359,                0.85188,                0.87393,                0.53234,                0.85602,             0.00012747,             0.00012747,             0.00012747
                     94,                0.97984,                0.59236,                0.88253,                0.96507,                0.95506,                0.97345,                0.85162,                0.86177,                0.52507,                0.85497,             0.00011332,             0.00011332,             0.00011332
                     95,                0.98734,                0.59739,                0.88694,                0.96479,                0.95158,                0.97278,                0.85185,                0.85606,                0.52237,                0.85485,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.96237,                0.58649,                 0.8842,                0.96653,                0.95717,                0.97571,                0.85219,                0.85167,                0.51451,                0.85451,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.97677,                0.58461,                0.88485,                 0.9685,                 0.9565,                0.97437,                0.85489,                0.85262,                0.50962,                0.85438,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.93798,                 0.5726,                0.88488,                 0.9666,                0.95735,                  0.974,                0.85688,                0.84969,                0.51047,                 0.8545,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.95169,                0.57995,                0.89044,                0.96725,                0.95811,                0.97451,                0.85703,                0.84828,                0.51156,                0.85445,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.95777,                0.58142,                0.89093,                0.96593,                0.96091,                0.97503,                 0.8571,                0.84679,                0.51362,                0.85407,             2.8437e-05,             2.8437e-05,             2.8437e-05
